original_line,processed
umarsız mutsuzluğun,"[{'input': 'umarsız', 'root': 'Umar', 'type': 'Noun'}, {'input': 'umarsız', 'root': 'umar', 'type': 'Noun'}, {'input': 'mutsuzluğun', 'root': 'mutsuz', 'type': 'Adjective'}, {'input': 'mutsuzluğun', 'root': 'mutsuz', 'type': 'Adjective'}, {'input': 'mutsuzluğun', 'root': 'Mut', 'type': 'Noun'}, {'input': 'mutsuzluğun', 'root': 'Mut', 'type': 'Noun'}]"
"İçine düşürür gözlerini,","[{'input': 'İçine', 'root': 'iç', 'type': 'Noun'}, {'input': 'İçine', 'root': 'iç', 'type': 'Noun'}, {'input': 'İçine', 'root': 'iç', 'type': 'Adjective'}, {'input': 'İçine', 'root': 'iç', 'type': 'Adjective'}, {'input': 'düşürür', 'root': 'düşürmek', 'type': 'Verb'}, {'input': 'düşürür', 'root': 'düşürmek', 'type': 'Verb'}, {'input': 'gözlerini', 'root': 'göz', 'type': 'Noun'}, {'input': 'gözlerini', 'root': 'göz', 'type': 'Noun'}, {'input': 'gözlerini', 'root': 'göz', 'type': 'Noun'}, {'input': 'gözlerini', 'root': 'göz', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
Mavi damarlı çocuğum benim.,"[{'input': 'Mavi', 'root': 'mavi', 'type': 'Adjective'}, {'input': 'Mavi', 'root': 'mavi', 'type': 'Noun'}, {'input': 'damarlı', 'root': 'damar', 'type': 'Noun'}, {'input': 'çocuğum', 'root': 'çocuk', 'type': 'Noun'}, {'input': 'çocuğum', 'root': 'çocuk', 'type': 'Adjective'}, {'input': 'çocuğum', 'root': 'çocuk', 'type': 'Adjective'}, {'input': 'çocuğum', 'root': 'çocuk', 'type': 'Noun'}, {'input': 'benim', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'benim', 'root': 'ben', 'type': 'Noun'}, {'input': 'benim', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'benim', 'root': 'ben', 'type': 'Noun'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
"(Trieste, 1913)","[{'input': '(', 'root': '(', 'type': 'Punctuation'}, {'input': 'Trieste', 'root': 'Trieste', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': '1913', 'root': '1913', 'type': 'Numeral'}, {'input': ')', 'root': ')', 'type': 'Punctuation'}]"
James Joyce,"[{'input': 'James', 'root': 'James', 'type': 'Noun'}, {'input': 'Joyce', 'root': 'Joyce', 'type': 'Noun'}]"
Türkçe’ye çeviren: İsmail Aksoy,"[{'input': 'Türkçe'ye', 'root': 'Türkçe', 'type': 'Noun'}, {'input': 'çeviren', 'root': 'çevirmek', 'type': 'Verb'}, {'input': ':', 'root': ':', 'type': 'Punctuation'}, {'input': 'İsmail', 'root': 'İsmail', 'type': 'Noun'}, {'input': 'Aksoy', 'root': 'Aksoy', 'type': 'Noun'}]"
“Pomes Penyeach”den (1927),"[{'input': '""', 'root': '""', 'type': 'Punctuation'}, {'input': '""', 'root': '""', 'type': 'Punctuation'}, {'input': 'den', 'root': 'de', 'type': 'Noun'}, {'input': 'den', 'root': 'demek', 'type': 'Verb'}, {'input': '(', 'root': '(', 'type': 'Punctuation'}, {'input': '1927', 'root': '1927', 'type': 'Numeral'}, {'input': ')', 'root': ')', 'type': 'Punctuation'}]"
Sana çiçek veriyorum,"[{'input': 'Sana', 'root': 'sanmak', 'type': 'Verb'}, {'input': 'Sana', 'root': 'san', 'type': 'Noun'}, {'input': 'Sana', 'root': 'sen', 'type': 'Pronoun'}, {'input': 'Sana', 'root': 'Sana', 'type': 'Noun'}, {'input': 'çiçek', 'root': 'çiçek', 'type': 'Noun'}, {'input': 'çiçek', 'root': 'Çiçek', 'type': 'Noun'}, {'input': 'veriyorum', 'root': 'vermek', 'type': 'Verb'}]"
Zor günlerin çiçeği,"[{'input': 'Zor', 'root': 'zor', 'type': 'Adjective'}, {'input': 'Zor', 'root': 'zor', 'type': 'Adverb'}, {'input': 'Zor', 'root': 'zor', 'type': 'Noun'}, {'input': 'günlerin', 'root': 'gün', 'type': 'Noun'}, {'input': 'günlerin', 'root': 'gün', 'type': 'Noun'}, {'input': 'çiçeği', 'root': 'çiçek', 'type': 'Noun'}, {'input': 'çiçeği', 'root': 'çiçek', 'type': 'Noun'}]"
Karanlıkta açan,"[{'input': 'Karanlıkta', 'root': 'karanlık', 'type': 'Noun'}, {'input': 'Karanlıkta', 'root': 'Karanlık', 'type': 'Noun'}, {'input': 'Karanlıkta', 'root': 'karanlık', 'type': 'Adjective'}, {'input': 'Karanlıkta', 'root': 'karmak', 'type': 'Verb'}, {'input': 'açan', 'root': 'açmak', 'type': 'Verb'}]"
