original_line,processed
Surda gündüz kımıldamakta,"[{'input': 'Surda', 'root': 'Sur', 'type': 'Noun'}, {'input': 'Surda', 'root': 'sur', 'type': 'Noun'}, {'input': 'gündüz', 'root': 'gündüz', 'type': 'Adverb'}, {'input': 'gündüz', 'root': 'gündüz', 'type': 'Noun'}, {'input': 'kımıldamakta', 'root': 'kımıldamak', 'type': 'Verb'}, {'input': 'kımıldamakta', 'root': 'kımıldamak', 'type': 'Verb'}]"
Dağılmanın beyaz organı: tuz birikintileri,"[{'input': 'Dağılmanın', 'root': 'dağılmak', 'type': 'Verb'}, {'input': 'Dağılmanın', 'root': 'dağılmak', 'type': 'Verb'}, {'input': 'beyaz', 'root': 'beyaz', 'type': 'Adjective'}, {'input': 'beyaz', 'root': 'beyaz', 'type': 'Noun'}, {'input': 'organı', 'root': 'organ', 'type': 'Noun'}, {'input': 'organı', 'root': 'organ', 'type': 'Noun'}, {'input': ':', 'root': ':', 'type': 'Punctuation'}, {'input': 'tuz', 'root': 'tuz', 'type': 'Noun'}, {'input': 'birikintileri', 'root': 'birikinti', 'type': 'Noun'}, {'input': 'birikintileri', 'root': 'birikinti', 'type': 'Noun'}, {'input': 'birikintileri', 'root': 'birikinti', 'type': 'Noun'}, {'input': 'birikintileri', 'root': 'birikinti', 'type': 'Noun'}]"
gündüz,"[{'input': 'gündüz', 'root': 'gündüz', 'type': 'Adverb'}, {'input': 'gündüz', 'root': 'gündüz', 'type': 'Noun'}]"
Kalın kabuklarını kaldırı....................,"[{'input': 'Kalın', 'root': 'kalın', 'type': 'Adjective'}, {'input': 'Kalın', 'root': 'kalmak', 'type': 'Verb'}, {'input': 'Kalın', 'root': 'kalınmak', 'type': 'Verb'}, {'input': 'Kalın', 'root': 'kal', 'type': 'Noun'}, {'input': 'Kalın', 'root': 'kal', 'type': 'Noun'}, {'input': 'Kalın', 'root': 'kalın', 'type': 'Noun'}, {'input': 'Kalın', 'root': 'kalmak', 'type': 'Verb'}, {'input': 'kabuklarını', 'root': 'kabuk', 'type': 'Noun'}, {'input': 'kabuklarını', 'root': 'kabuk', 'type': 'Noun'}, {'input': 'kabuklarını', 'root': 'kabuk', 'type': 'Noun'}, {'input': 'kabuklarını', 'root': 'kabuk', 'type': 'Noun'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
Giderim yol sıra yavlak uzanmış ağaç,"[{'input': 'Giderim', 'root': 'gitmek', 'type': 'Verb'}, {'input': 'Giderim', 'root': 'gider', 'type': 'Noun'}, {'input': 'Giderim', 'root': 'gider', 'type': 'Noun'}, {'input': 'yol', 'root': 'yolmak', 'type': 'Verb'}, {'input': 'yol', 'root': 'yol', 'type': 'Noun'}, {'input': 'sıra', 'root': 'sır', 'type': 'Noun'}, {'input': 'sıra', 'root': 'sıra', 'type': 'Noun'}, {'input': 'uzanmış', 'root': 'uzanmak', 'type': 'Verb'}, {'input': 'uzanmış', 'root': 'uzanmak', 'type': 'Verb'}, {'input': 'uzanmış', 'root': 'uzamak', 'type': 'Verb'}, {'input': 'uzanmış', 'root': 'uzamak', 'type': 'Verb'}, {'input': 'uzanmış', 'root': 'Uzan', 'type': 'Noun'}, {'input': 'ağaç', 'root': 'ağaç', 'type': 'Adjective'}, {'input': 'ağaç', 'root': 'ağaç', 'type': 'Noun'}]"
Böyle lâtif böyle şirin gönlüm aydur birkaç sır aç,"[{'input': 'Böyle', 'root': 'böyle', 'type': 'Adjective'}, {'input': 'Böyle', 'root': 'böyle', 'type': 'Adverb'}, {'input': 'lâtif', 'root': 'latif', 'type': 'Adjective'}, {'input': 'lâtif', 'root': 'Lâtif', 'type': 'Noun'}, {'input': 'böyle', 'root': 'böyle', 'type': 'Adjective'}, {'input': 'böyle', 'root': 'böyle', 'type': 'Adverb'}, {'input': 'şirin', 'root': 'şirin', 'type': 'Adjective'}, {'input': 'gönlüm', 'root': 'gönül', 'type': 'Noun'}, {'input': 'gönlüm', 'root': 'gönül', 'type': 'Noun'}, {'input': 'gönlüm', 'root': 'gön', 'type': 'Noun'}, {'input': 'birkaç', 'root': 'birkaç', 'type': 'Adjective'}, {'input': 'birkaç', 'root': 'birkaç', 'type': 'Determiner'}, {'input': 'sır', 'root': 'sımak', 'type': 'Verb'}, {'input': 'sır', 'root': 'sımak', 'type': 'Verb'}, {'input': 'sır', 'root': 'sır', 'type': 'Noun'}, {'input': 'sır', 'root': 'sır', 'type': 'Noun'}, {'input': 'aç', 'root': 'aç', 'type': 'Adjective'}, {'input': 'aç', 'root': 'aç', 'type': 'Adverb'}, {'input': 'aç', 'root': 'açmak', 'type': 'Verb'}, {'input': 'aç', 'root': 'Aç', 'type': 'Noun'}]"
Böyl’uzamak manâdır dünya fânîdir,"[{'input': 'manâdır', 'root': 'Man', 'type': 'Noun'}, {'input': 'manâdır', 'root': 'Mana', 'type': 'Noun'}, {'input': 'manâdır', 'root': 'mana', 'type': 'Noun'}, {'input': 'dünya', 'root': 'Dünya', 'type': 'Noun'}, {'input': 'dünya', 'root': 'dünya', 'type': 'Noun'}, {'input': 'fânîdir', 'root': 'fâni', 'type': 'Adjective'}, {'input': 'fânîdir', 'root': 'fâni', 'type': 'Noun'}, {'input': 'fânîdir', 'root': 'fani', 'type': 'Noun'}]"
fuzûllük nişânıdır gel beri miskinliğe geç,"[{'input': 'nişânıdır', 'root': 'Nişan', 'type': 'Noun'}, {'input': 'nişânıdır', 'root': 'nişan', 'type': 'Noun'}, {'input': 'gel', 'root': 'gelmek', 'type': 'Verb'}, {'input': 'beri', 'root': 'beri', 'type': 'Adverb'}, {'input': 'beri', 'root': 'beri', 'type': 'PostPositive'}, {'input': 'beri', 'root': 'beri', 'type': 'Adjective'}, {'input': 'beri', 'root': 'beri', 'type': 'Noun'}, {'input': 'beri', 'root': 'beri', 'type': 'Noun'}, {'input': 'beri', 'root': 'Beri', 'type': 'Noun'}, {'input': 'miskinliğe', 'root': 'miskin', 'type': 'Adjective'}, {'input': 'geç', 'root': 'geç', 'type': 'Adjective'}, {'input': 'geç', 'root': 'geç', 'type': 'Adverb'}, {'input': 'geç', 'root': 'geçmek', 'type': 'Verb'}]"
Böyle lâtif beziniben böyle şirîn düzünüben,"[{'input': 'Böyle', 'root': 'böyle', 'type': 'Adjective'}, {'input': 'Böyle', 'root': 'böyle', 'type': 'Adverb'}, {'input': 'lâtif', 'root': 'latif', 'type': 'Adjective'}, {'input': 'lâtif', 'root': 'Lâtif', 'type': 'Noun'}, {'input': 'böyle', 'root': 'böyle', 'type': 'Adjective'}, {'input': 'böyle', 'root': 'böyle', 'type': 'Adverb'}, {'input': 'şirîn', 'root': 'şirin', 'type': 'Adjective'}]"
Gönül Hakk’a uzanuban dilek nedir neye muhtâç,"[{'input': 'Gönül', 'root': 'Gönül', 'type': 'Noun'}, {'input': 'Gönül', 'root': 'gönül', 'type': 'Noun'}, {'input': 'Hakk'a', 'root': 'Hakk', 'type': 'Noun'}, {'input': 'Hakk'a', 'root': 'Hak', 'type': 'Noun'}, {'input': 'Hakk'a', 'root': 'hak', 'type': 'Noun'}, {'input': 'dilek', 'root': 'dilek', 'type': 'Noun'}, {'input': 'dilek', 'root': 'Dilek', 'type': 'Noun'}, {'input': 'nedir', 'root': 'ne', 'type': 'Adjective'}, {'input': 'nedir', 'root': 'Ne', 'type': 'Noun'}, {'input': 'nedir', 'root': 'ne', 'type': 'Pronoun'}, {'input': 'nedir', 'root': 'ne', 'type': 'Noun'}, {'input': 'neye', 'root': 'Ne', 'type': 'Noun'}, {'input': 'neye', 'root': 'ne', 'type': 'Pronoun'}, {'input': 'neye', 'root': 'ne', 'type': 'Noun'}, {'input': 'neye', 'root': 'ney', 'type': 'Noun'}, {'input': 'neye', 'root': 'ne', 'type': 'Adjective'}, {'input': 'muhtâç', 'root': 'muhtaç', 'type': 'Adjective'}]"
