original_line,processed
zamanlar benim sevgilimdin,"[{'input': 'zamanlar', 'root': 'zamanlamak', 'type': 'Verb'}, {'input': 'zamanlar', 'root': 'zamanlamak', 'type': 'Verb'}, {'input': 'zamanlar', 'root': 'zaman', 'type': 'Noun'}, {'input': 'zamanlar', 'root': 'zaman', 'type': 'Noun'}, {'input': 'benim', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'benim', 'root': 'ben', 'type': 'Noun'}, {'input': 'benim', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'benim', 'root': 'ben', 'type': 'Noun'}, {'input': 'sevgilimdin', 'root': 'sevgili', 'type': 'Noun'}, {'input': 'sevgilimdin', 'root': 'Sevgilim', 'type': 'Noun'}, {'input': 'sevgilimdin', 'root': 'sevgili', 'type': 'Adjective'}, {'input': 'sevgilimdin', 'root': 'sevgi', 'type': 'Noun'}]"
Yanımdayken hasretimdin,"[{'input': 'Yanımdayken', 'root': 'yan', 'type': 'Noun'}, {'input': 'hasretimdin', 'root': 'hasret', 'type': 'Noun'}, {'input': 'hasretimdin', 'root': 'Hasret', 'type': 'Noun'}]"
Şimdi aşk buldun,"[{'input': 'Şimdi', 'root': 'şimdi', 'type': 'Adverb'}, {'input': 'Şimdi', 'root': 'şimdi', 'type': 'Noun'}, {'input': 'aşk', 'root': 'aşk', 'type': 'Noun'}, {'input': 'buldun', 'root': 'bulmak', 'type': 'Verb'}, {'input': 'buldun', 'root': 'bul', 'type': 'Noun'}]"
Mutluluk senin olsun,"[{'input': 'Mutluluk', 'root': 'mutlu', 'type': 'Adjective'}, {'input': 'Mutluluk', 'root': 'Mut', 'type': 'Noun'}, {'input': 'senin', 'root': 'Se', 'type': 'Noun'}, {'input': 'senin', 'root': 'se', 'type': 'Noun'}, {'input': 'senin', 'root': 'se', 'type': 'Noun'}, {'input': 'senin', 'root': 'sen', 'type': 'Pronoun'}, {'input': 'olsun', 'root': 'olmak', 'type': 'Verb'}]"
"Dertler benim, çile benim, hasret benim","[{'input': 'Dertler', 'root': 'dert', 'type': 'Noun'}, {'input': 'Dertler', 'root': 'dert', 'type': 'Noun'}, {'input': 'benim', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'benim', 'root': 'ben', 'type': 'Noun'}, {'input': 'benim', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'benim', 'root': 'ben', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'çile', 'root': 'çilemek', 'type': 'Verb'}, {'input': 'çile', 'root': 'çil', 'type': 'Noun'}, {'input': 'çile', 'root': 'çile', 'type': 'Noun'}, {'input': 'çile', 'root': 'çil', 'type': 'Adjective'}, {'input': 'benim', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'benim', 'root': 'ben', 'type': 'Noun'}, {'input': 'benim', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'benim', 'root': 'ben', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'hasret', 'root': 'hasretmek', 'type': 'Verb'}, {'input': 'hasret', 'root': 'hasret', 'type': 'Noun'}, {'input': 'hasret', 'root': 'Hasret', 'type': 'Noun'}, {'input': 'benim', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'benim', 'root': 'ben', 'type': 'Noun'}, {'input': 'benim', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'benim', 'root': 'ben', 'type': 'Noun'}]"
"Hayat senin, senin olsun","[{'input': 'Hayat', 'root': 'hayat', 'type': 'Noun'}, {'input': 'senin', 'root': 'Se', 'type': 'Noun'}, {'input': 'senin', 'root': 'se', 'type': 'Noun'}, {'input': 'senin', 'root': 'se', 'type': 'Noun'}, {'input': 'senin', 'root': 'sen', 'type': 'Pronoun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'senin', 'root': 'Se', 'type': 'Noun'}, {'input': 'senin', 'root': 'se', 'type': 'Noun'}, {'input': 'senin', 'root': 'se', 'type': 'Noun'}, {'input': 'senin', 'root': 'sen', 'type': 'Pronoun'}, {'input': 'olsun', 'root': 'olmak', 'type': 'Verb'}]"
"Ömrüm senin, senin olsun","[{'input': 'Ömrüm', 'root': 'ömür', 'type': 'Noun'}, {'input': 'Ömrüm', 'root': 'ömür', 'type': 'Noun'}, {'input': 'senin', 'root': 'Se', 'type': 'Noun'}, {'input': 'senin', 'root': 'se', 'type': 'Noun'}, {'input': 'senin', 'root': 'se', 'type': 'Noun'}, {'input': 'senin', 'root': 'sen', 'type': 'Pronoun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'senin', 'root': 'Se', 'type': 'Noun'}, {'input': 'senin', 'root': 'se', 'type': 'Noun'}, {'input': 'senin', 'root': 'se', 'type': 'Noun'}, {'input': 'senin', 'root': 'sen', 'type': 'Pronoun'}, {'input': 'olsun', 'root': 'olmak', 'type': 'Verb'}]"
"daha çile, dertlere yolcuyum","[{'input': 'daha', 'root': 'daha', 'type': 'Adverb'}, {'input': 'daha', 'root': 'daha', 'type': 'Noun'}, {'input': 'çile', 'root': 'çilemek', 'type': 'Verb'}, {'input': 'çile', 'root': 'çil', 'type': 'Noun'}, {'input': 'çile', 'root': 'çile', 'type': 'Noun'}, {'input': 'çile', 'root': 'çil', 'type': 'Adjective'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'dertlere', 'root': 'dert', 'type': 'Noun'}, {'input': 'yolcuyum', 'root': 'yolcu', 'type': 'Noun'}, {'input': 'yolcuyum', 'root': 'yol', 'type': 'Noun'}]"
alnına dert yazılan kader mahkumuyum,"[{'input': 'alnına', 'root': 'alın', 'type': 'Noun'}, {'input': 'alnına', 'root': 'alın', 'type': 'Noun'}, {'input': 'dert', 'root': 'dert', 'type': 'Noun'}, {'input': 'yazılan', 'root': 'yazmak', 'type': 'Verb'}, {'input': 'yazılan', 'root': 'yazılamak', 'type': 'Verb'}, {'input': 'yazılan', 'root': 'yazı', 'type': 'Noun'}, {'input': 'kader', 'root': 'Kader', 'type': 'Noun'}, {'input': 'kader', 'root': 'kader', 'type': 'Noun'}, {'input': 'mahkumuyum', 'root': 'mahkum', 'type': 'Noun'}, {'input': 'mahkumuyum', 'root': 'mahkûm', 'type': 'Adjective'}]"
"Farketmez yaşamam, mesut ol yeter","[{'input': 'Farketmez', 'root': 'farketmek', 'type': 'Verb'}, {'input': 'Farketmez', 'root': 'farketmek', 'type': 'Verb'}, {'input': 'yaşamam', 'root': 'yaşamak', 'type': 'Verb'}, {'input': 'yaşamam', 'root': 'yaşamak', 'type': 'Verb'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'mesut', 'root': 'mesut', 'type': 'Adjective'}, {'input': 'mesut', 'root': 'Mesut', 'type': 'Noun'}, {'input': 'ol', 'root': 'olmak', 'type': 'Verb'}, {'input': 'yeter', 'root': 'yeter', 'type': 'Adjective'}, {'input': 'yeter', 'root': 'yetmek', 'type': 'Verb'}, {'input': 'yeter', 'root': 'yetmek', 'type': 'Verb'}]"
Dertler bana gönül vermiş,"[{'input': 'Dertler', 'root': 'dert', 'type': 'Noun'}, {'input': 'Dertler', 'root': 'dert', 'type': 'Noun'}, {'input': 'bana', 'root': 'banmak', 'type': 'Verb'}, {'input': 'bana', 'root': 'Ba', 'type': 'Noun'}, {'input': 'bana', 'root': 'ban', 'type': 'Noun'}, {'input': 'bana', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'gönül', 'root': 'Gönül', 'type': 'Noun'}, {'input': 'gönül', 'root': 'gönül', 'type': 'Noun'}, {'input': 'vermiş', 'root': 'vermek', 'type': 'Verb'}, {'input': 'vermiş', 'root': 'vermek', 'type': 'Verb'}]"
aşk sarhoşuyum,"[{'input': 'aşk', 'root': 'aşk', 'type': 'Noun'}, {'input': 'sarhoşuyum', 'root': 'sarhoş', 'type': 'Adjective'}]"
Dilerim arzun gerşek arzun,"[{'input': 'Dilerim', 'root': 'dilmek', 'type': 'Verb'}, {'input': 'Dilerim', 'root': 'dilemek', 'type': 'Verb'}, {'input': 'arzun', 'root': 'arzu', 'type': 'Noun'}, {'input': 'arzun', 'root': 'arzu', 'type': 'Noun'}]"
"Hayat bu, şansın hep açık olsun","[{'input': 'Hayat', 'root': 'hayat', 'type': 'Noun'}, {'input': 'bu', 'root': 'bu', 'type': 'Determiner'}, {'input': 'bu', 'root': 'bu', 'type': 'Pronoun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'şansın', 'root': 'şans', 'type': 'Noun'}, {'input': 'şansın', 'root': 'şans', 'type': 'Noun'}, {'input': 'şansın', 'root': 'şan', 'type': 'Noun'}, {'input': 'hep', 'root': 'hep', 'type': 'Adverb'}, {'input': 'açık', 'root': 'açık', 'type': 'Adjective'}, {'input': 'açık', 'root': 'açık', 'type': 'Adverb'}, {'input': 'açık', 'root': 'Açık', 'type': 'Noun'}, {'input': 'açık', 'root': 'açık', 'type': 'Noun'}, {'input': 'olsun', 'root': 'olmak', 'type': 'Verb'}]"
"Dertler benim, çile benim","[{'input': 'Dertler', 'root': 'dert', 'type': 'Noun'}, {'input': 'Dertler', 'root': 'dert', 'type': 'Noun'}, {'input': 'benim', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'benim', 'root': 'ben', 'type': 'Noun'}, {'input': 'benim', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'benim', 'root': 'ben', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'çile', 'root': 'çilemek', 'type': 'Verb'}, {'input': 'çile', 'root': 'çil', 'type': 'Noun'}, {'input': 'çile', 'root': 'çile', 'type': 'Noun'}, {'input': 'çile', 'root': 'çil', 'type': 'Adjective'}, {'input': 'benim', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'benim', 'root': 'ben', 'type': 'Noun'}, {'input': 'benim', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'benim', 'root': 'ben', 'type': 'Noun'}]"
Hayat senin senin olsun,"[{'input': 'Hayat', 'root': 'hayat', 'type': 'Noun'}, {'input': 'senin', 'root': 'Se', 'type': 'Noun'}, {'input': 'senin', 'root': 'se', 'type': 'Noun'}, {'input': 'senin', 'root': 'se', 'type': 'Noun'}, {'input': 'senin', 'root': 'sen', 'type': 'Pronoun'}, {'input': 'senin', 'root': 'Se', 'type': 'Noun'}, {'input': 'senin', 'root': 'se', 'type': 'Noun'}, {'input': 'senin', 'root': 'se', 'type': 'Noun'}, {'input': 'senin', 'root': 'sen', 'type': 'Pronoun'}, {'input': 'olsun', 'root': 'olmak', 'type': 'Verb'}]"
"Hatıralar, hasret benim","[{'input': 'Hatıralar', 'root': 'hatıra', 'type': 'Noun'}, {'input': 'Hatıralar', 'root': 'Hatıra', 'type': 'Noun'}, {'input': 'Hatıralar', 'root': 'Hatır', 'type': 'Noun'}, {'input': 'Hatıralar', 'root': 'hatır', 'type': 'Noun'}, {'input': 'Hatıralar', 'root': 'hatıra', 'type': 'Noun'}, {'input': 'Hatıralar', 'root': 'Hatıra', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'hasret', 'root': 'hasretmek', 'type': 'Verb'}, {'input': 'hasret', 'root': 'hasret', 'type': 'Noun'}, {'input': 'hasret', 'root': 'Hasret', 'type': 'Noun'}, {'input': 'benim', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'benim', 'root': 'ben', 'type': 'Noun'}, {'input': 'benim', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'benim', 'root': 'ben', 'type': 'Noun'}]"
