original_line,processed
Vakit yaklaşıyor toparlan ahbap,"[{'input': 'Vakit', 'root': 'vakit', 'type': 'Noun'}, {'input': 'Vakit', 'root': 'Vakit', 'type': 'Noun'}, {'input': 'yaklaşıyor', 'root': 'yaklaşmak', 'type': 'Verb'}, {'input': 'yaklaşıyor', 'root': 'yak', 'type': 'Noun'}, {'input': 'toparlan', 'root': 'toparlamak', 'type': 'Verb'}, {'input': 'ahbap', 'root': 'ahbap', 'type': 'Interjection'}, {'input': 'ahbap', 'root': 'ahbap', 'type': 'Noun'}]"
Yarın gün meydanda talan var,"[{'input': 'Yarın', 'root': 'yarın', 'type': 'Adverb'}, {'input': 'Yarın', 'root': 'yarmak', 'type': 'Verb'}, {'input': 'Yarın', 'root': 'yar', 'type': 'Noun'}, {'input': 'Yarın', 'root': 'yar', 'type': 'Noun'}, {'input': 'Yarın', 'root': 'yarı', 'type': 'Noun'}, {'input': 'Yarın', 'root': 'yarın', 'type': 'Noun'}, {'input': 'Yarın', 'root': 'yarı', 'type': 'Adjective'}, {'input': 'gün', 'root': 'gün', 'type': 'Noun'}, {'input': 'meydanda', 'root': 'meydanda', 'type': 'Adjective'}, {'input': 'meydanda', 'root': 'meydan', 'type': 'Noun'}, {'input': 'talan', 'root': 'talan', 'type': 'Noun'}, {'input': 'var', 'root': 'var', 'type': 'Adjective'}, {'input': 'var', 'root': 'varmak', 'type': 'Verb'}, {'input': 'var', 'root': 'var', 'type': 'Noun'}]"
"Nasıl olsa görülecek hesap,","[{'input': 'Nasıl', 'root': 'nasıl', 'type': 'Adjective'}, {'input': 'Nasıl', 'root': 'nasıl', 'type': 'Adverb'}, {'input': 'olsa', 'root': 'olmak', 'type': 'Verb'}, {'input': 'görülecek', 'root': 'görmek', 'type': 'Verb'}, {'input': 'görülecek', 'root': 'görmek', 'type': 'Verb'}, {'input': 'hesap', 'root': 'hesap', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
Sanma dünyada baki kalan var!,"[{'input': 'Sanma', 'root': 'sanmak', 'type': 'Verb'}, {'input': 'Sanma', 'root': 'sanmak', 'type': 'Verb'}, {'input': 'dünyada', 'root': 'dünyada', 'type': 'Adverb'}, {'input': 'dünyada', 'root': 'Dünya', 'type': 'Noun'}, {'input': 'dünyada', 'root': 'dünya', 'type': 'Noun'}, {'input': 'baki', 'root': 'baki', 'type': 'Adjective'}, {'input': 'kalan', 'root': 'kalmak', 'type': 'Verb'}, {'input': 'kalan', 'root': 'kala', 'type': 'Noun'}, {'input': 'kalan', 'root': 'Kalan', 'type': 'Noun'}, {'input': 'var', 'root': 'var', 'type': 'Adjective'}, {'input': 'var', 'root': 'varmak', 'type': 'Verb'}, {'input': 'var', 'root': 'var', 'type': 'Noun'}, {'input': '!', 'root': '!', 'type': 'Punctuation'}]"
"Nic'oldu ticaret,hani karımız?","[{'input': 'ticaret', 'root': 'ticaret', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'hani', 'root': 'hani', 'type': 'Adverb'}, {'input': 'hani', 'root': 'Hani', 'type': 'Noun'}, {'input': 'hani', 'root': 'hani', 'type': 'Noun'}, {'input': 'karımız', 'root': 'kar', 'type': 'Noun'}, {'input': 'karımız', 'root': 'kâr', 'type': 'Noun'}, {'input': 'karımız', 'root': 'karı', 'type': 'Noun'}, {'input': '?', 'root': '?', 'type': 'Punctuation'}]"
Yağmaya gidiyor bütün varımız,"[{'input': 'Yağmaya', 'root': 'yağmak', 'type': 'Verb'}, {'input': 'Yağmaya', 'root': 'yağma', 'type': 'Noun'}, {'input': 'Yağmaya', 'root': 'yağmak', 'type': 'Verb'}, {'input': 'Yağmaya', 'root': 'yağma', 'type': 'Adjective'}, {'input': 'gidiyor', 'root': 'gitmek', 'type': 'Verb'}, {'input': 'bütün', 'root': 'bütün', 'type': 'Adjective'}, {'input': 'bütün', 'root': 'bütün', 'type': 'Noun'}, {'input': 'varımız', 'root': 'var', 'type': 'Noun'}, {'input': 'varımız', 'root': 'var', 'type': 'Adjective'}]"
"Görmesek,şahittir kulaklarımız","[{'input': 'Görmesek', 'root': 'görmek', 'type': 'Verb'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'şahittir', 'root': 'şahit', 'type': 'Noun'}, {'input': 'kulaklarımız', 'root': 'kulak', 'type': 'Noun'}]"
Duymasak kapımızı çalan var,"[{'input': 'Duymasak', 'root': 'duymak', 'type': 'Verb'}, {'input': 'kapımızı', 'root': 'kap', 'type': 'Noun'}, {'input': 'kapımızı', 'root': 'kapı', 'type': 'Noun'}, {'input': 'çalan', 'root': 'çalmak', 'type': 'Verb'}, {'input': 'çalan', 'root': 'çala', 'type': 'Adjective'}, {'input': 'var', 'root': 'var', 'type': 'Adjective'}, {'input': 'var', 'root': 'varmak', 'type': 'Verb'}, {'input': 'var', 'root': 'var', 'type': 'Noun'}]"
Haramdan eksik tartıp helalı,"[{'input': 'Haramdan', 'root': 'hara', 'type': 'Noun'}, {'input': 'Haramdan', 'root': 'haram', 'type': 'Noun'}, {'input': 'Haramdan', 'root': 'haram', 'type': 'Adjective'}, {'input': 'eksik', 'root': 'eksik', 'type': 'Adjective'}, {'input': 'eksik', 'root': 'eksik', 'type': 'Noun'}, {'input': 'tartıp', 'root': 'tartmak', 'type': 'Verb'}, {'input': 'helalı', 'root': 'helâ', 'type': 'Noun'}]"
Dengeye getirdik zehirle balı,"[{'input': 'Dengeye', 'root': 'denge', 'type': 'Noun'}, {'input': 'getirdik', 'root': 'getirmek', 'type': 'Verb'}, {'input': 'getirdik', 'root': 'getirmek', 'type': 'Verb'}, {'input': 'getirdik', 'root': 'getirmek', 'type': 'Verb'}, {'input': 'zehirle', 'root': 'zehirlemek', 'type': 'Verb'}, {'input': 'zehirle', 'root': 'zehir', 'type': 'Noun'}, {'input': 'zehirle', 'root': 'zehir', 'type': 'Noun'}, {'input': 'balı', 'root': 'bal', 'type': 'Noun'}, {'input': 'balı', 'root': 'bal', 'type': 'Noun'}, {'input': 'balı', 'root': 'Ba', 'type': 'Noun'}]"
