original_line,processed
yarım kalmış,"[{'input': 'yarım', 'root': 'yarım', 'type': 'Adjective'}, {'input': 'yarım', 'root': 'yar', 'type': 'Noun'}, {'input': 'yarım', 'root': 'yarı', 'type': 'Noun'}, {'input': 'yarım', 'root': 'yarım', 'type': 'Noun'}, {'input': 'yarım', 'root': 'yarı', 'type': 'Adjective'}, {'input': 'yarım', 'root': 'yar', 'type': 'Noun'}, {'input': 'kalmış', 'root': 'kalmak', 'type': 'Verb'}, {'input': 'kalmış', 'root': 'kalmak', 'type': 'Verb'}, {'input': 'kalmış', 'root': 'kal', 'type': 'Noun'}]"
duvar yazıları,"[{'input': 'duvar', 'root': 'duvar', 'type': 'Noun'}, {'input': 'yazıları', 'root': 'yazı', 'type': 'Noun'}, {'input': 'yazıları', 'root': 'yazı', 'type': 'Noun'}, {'input': 'yazıları', 'root': 'yazı', 'type': 'Noun'}, {'input': 'yazıları', 'root': 'yazı', 'type': 'Noun'}]"
hoşça kal,"[{'input': 'hoşça', 'root': 'hoş', 'type': 'Adjective'}, {'input': 'hoşça', 'root': 'hoş', 'type': 'Adjective'}, {'input': 'kal', 'root': 'kalmak', 'type': 'Verb'}, {'input': 'kal', 'root': 'kal', 'type': 'Noun'}]"
gün gelecek,"[{'input': 'gün', 'root': 'gün', 'type': 'Noun'}, {'input': 'gelecek', 'root': 'gelecek', 'type': 'Adjective'}, {'input': 'gelecek', 'root': 'gelmek', 'type': 'Verb'}, {'input': 'gelecek', 'root': 'gelmek', 'type': 'Verb'}, {'input': 'gelecek', 'root': 'gelecek', 'type': 'Noun'}]"
akacak yeraltı suları,"[{'input': 'akacak', 'root': 'akmak', 'type': 'Verb'}, {'input': 'akacak', 'root': 'akmak', 'type': 'Verb'}, {'input': 'yeraltı', 'root': 'yeraltı', 'type': 'Adjective'}, {'input': 'yeraltı', 'root': 'yeraltı', 'type': 'Noun'}, {'input': 'yeraltı', 'root': 'yeraltı', 'type': 'Noun'}, {'input': 'suları', 'root': 'su', 'type': 'Noun'}, {'input': 'suları', 'root': 'su', 'type': 'Noun'}, {'input': 'suları', 'root': 'su', 'type': 'Noun'}, {'input': 'suları', 'root': 'su', 'type': 'Noun'}]"
hoşça kal,"[{'input': 'hoşça', 'root': 'hoş', 'type': 'Adjective'}, {'input': 'hoşça', 'root': 'hoş', 'type': 'Adjective'}, {'input': 'kal', 'root': 'kalmak', 'type': 'Verb'}, {'input': 'kal', 'root': 'kal', 'type': 'Noun'}]"
"yakut, bezirgan, gön","[{'input': 'yakut', 'root': 'yakut', 'type': 'Adjective'}, {'input': 'yakut', 'root': 'yakut', 'type': 'Noun'}, {'input': 'yakut', 'root': 'Yakut', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'bezirgan', 'root': 'bezirgân', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'gön', 'root': 'gön', 'type': 'Noun'}]"
hoşça kal eski zaman,"[{'input': 'hoşça', 'root': 'hoş', 'type': 'Adjective'}, {'input': 'hoşça', 'root': 'hoş', 'type': 'Adjective'}, {'input': 'kal', 'root': 'kalmak', 'type': 'Verb'}, {'input': 'kal', 'root': 'kal', 'type': 'Noun'}, {'input': 'eski', 'root': 'eski', 'type': 'Adjective'}, {'input': 'eski', 'root': 'eskimek', 'type': 'Verb'}, {'input': 'eski', 'root': 'eski', 'type': 'Noun'}, {'input': 'zaman', 'root': 'zaman', 'type': 'Noun'}]"
aktarları,"[{'input': 'aktarları', 'root': 'Aktar', 'type': 'Noun'}, {'input': 'aktarları', 'root': 'Aktar', 'type': 'Noun'}, {'input': 'aktarları', 'root': 'Aktar', 'type': 'Noun'}, {'input': 'aktarları', 'root': 'Aktar', 'type': 'Noun'}, {'input': 'aktarları', 'root': 'aktar', 'type': 'Noun'}, {'input': 'aktarları', 'root': 'aktar', 'type': 'Noun'}, {'input': 'aktarları', 'root': 'aktar', 'type': 'Noun'}, {'input': 'aktarları', 'root': 'aktar', 'type': 'Noun'}]"
gidiyorum,"[{'input': 'gidiyorum', 'root': 'gitmek', 'type': 'Verb'}]"
